runner,area,line,yards
"eddie lacy","right","tackle","6"
"eddie lacy","middle","center","15"
"james starks","right","guard","2"
"marshawn lynch","left","tackle","5"
"robert turbin","left","tackle",0
"percy harvin","right","tackle","13"
"marshawn lynch","left","tackle","5"
"eddie lacy","right","tackle",0
"eddie lacy","middle","center","2"
"john kuhn","left","guard","2"
"marshawn lynch","left","tackle","10"
"marshawn lynch","right","tackle","7"
"eddie lacy","left","guard","1"
"eddie lacy","left","tackle","3"
"james starks","middle","center","3"
"james starks","middle","center","6"
"james starks","middle","center","3"
"eddie lacy","left","tackle","2"
"marshawn lynch","left","tackle","21"
"percy harvin","right","tackle","9"
"marshawn lynch","left","guard","2"
"marshawn lynch","middle","center","9"
"eddie lacy","left","tackle",0
"robert turbin","right","tackle","7"
"robert turbin","right","guard","7"
"russell wilson","middle","center","5"
"marshawn lynch","middle","center","14"
"marshawn lynch","right","tackle","9"
"robert turbin","left","tackle","4"
"marshawn lynch","left","tackle","5"
"eddie lacy","left","tackle","2"
"eddie lacy","middle","center","2"
"eddie lacy","right","tackle","-2"
"percy harvin","right","tackle","16"
"marshawn lynch","right","tackle","1"
"marshawn lynch","left","tackle","1"
"robert turbin","right","tackle","5"
"marshawn lynch","middle","center","4"
"marshawn lynch","right","tackle",0
"russell wilson","middle","center","13"
"marshawn lynch","left","tackle","3"
"eddie lacy","middle","center","3"
"james starks","middle","center","6"
"james starks","right","tackle","12"
"james starks","left","tackle","5"
"marshawn lynch","left","tackle","3"
"marshawn lynch","left","tackle","2"
"robert turbin","right","tackle","4"
"russell wilson","left","tackle","7"
"marshawn lynch","right","tackle","2"
"marshawn lynch","right","guard","6"
"marshawn lynch","right","guard","1"
"dujuan harris","middle","center","7"
"mark ingram","left","tackle","6"
"mark ingram","left","tackle","1"
"steven jackson","left","tackle","1"
"pierre thomas","left","tackle","2"
"mark ingram","right","tackle","4"
"mark ingram","right","tackle",0
"steven jackson","right","guard","3"
"steven jackson","right","tackle","4"
"jacquizz rodgers","right","tackle","3"
"brandin cooks","left","tackle","18"
"khiry robinson","right","guard","21"
"khiry robinson","left","tackle","2"
"antone smith","right","tackle","2"
"steven jackson","right","guard","5"
"steven jackson","right","guard","17"
"antone smith","right","tackle","5"
"matt ryan","right","tackle","4"
"matt ryan","middle","center","2"
"jacquizz rodgers","right","tackle","3"
"khiry robinson","right","tackle","7"
"khiry robinson","left","tackle","5"
"pierre thomas","right","tackle","13"
"steven jackson","right","tackle","4"
"jacquizz rodgers","left","tackle","7"
"jacquizz rodgers","right","guard","2"
"jacquizz rodgers","right","guard","2"
"steven jackson","left","tackle",0
"steven jackson","left","tackle",0
"khiry robinson","right","tackle","-5"
"pierre thomas","left","tackle","2"
"steven jackson","right","tackle","10"
"mark ingram","right","tackle","6"
"pierre thomas","right","tackle","1"
"devonta freeman","right","guard","5"
"devonta freeman","right","tackle","10"
"mark ingram","left","tackle","1"
"mark ingram","right","tackle","1"
"pierre thomas","left","guard","4"
"drew brees","right","tackle","2"
"mark ingram","right","tackle","5"
"mark ingram","left","tackle","19"
"mark ingram","left","tackle","3"
"mark ingram","left","tackle","4"
